"","description","grade","totalVal"
"77","CONOCOPHILLIPS","inv",7901.5
"78","CONOCPHILLIPS CA","inv",500
"79","CONTINENTAL RES","junk",4100
"80","CONTINENTAL RESO","junk",1700
"81","COPANO ENERGY","inv",331.5
"82","COSL FINANCE","inv",1000
"83","CRESTWOOD MIDSTR","junk",1200
"84","CROWNROCK LP/CR","junk",750
"85","CRSTWD PART/FIN","junk",600
"86","CVR REF/COFF FIN","junk",500
"87","DCP MIDSTREAM","junk",2550
"88","DCP MIDSTREAM OP","junk",2075
"89","DELEK & AVNER TA","inv",1600
"90","DENBURY RESOURCE","junk",2850
"91","DENVER PARENT","junk",323
"92","DEVON ENERGY","inv",7550
"93","DEVON FINANCING","inv",1250
"94","DIAMOND OFFSHORE","inv",2000
"95","DIAMONDBACK ENER","junk",450
"96","DOLPHIN ENERGY","inv",1896.5
"97","DOM GAS HOLD LLC","inv",2899
"98","DRILL RIGS HLDS","junk",658
"99","DUKE CAP CORP","inv",500
"100","DUKE ENERGY FIEL","junk",600
"101","ECLIPSE RESOURCE","junk",550
"102","ECOPETROL SA","inv",8697.7
"103","EL PASO  CORP","inv",1263.3
"104","EL PASO CORP","inv",1891.3
"105","EL PASO NAT GAS","inv",913.6
"106","EL PASO PIPELINE","inv",2485
"107","EMPRESA NACIONAL","inv",600
"108","ENABLE MIDSTRM","inv",1649.2
"109","ENAP","inv",1300
"110","ENBRIDGE ENERGY","inv",4545
"111","ENBRIDGE ENERGY","junk",400
"112","ENBRIDGE INC","inv",2200
"113","ENCANA CORP","junk",3550
"114","ENDEAVOR ENERGY","junk",800
"115","ENERGEN CORP","junk",500
"116","ENERGY PARTNERS","junk",213.6
"117","ENERGY TRAN PTNR","inv",14694.2
"118","ENERGY TRANS","junk",2148.7
"119","ENERGY TRANSFER","junk",1187
"120","ENERGY XXI GULF","junk",2653.8
"121","ENI SPA","inv",800
"122","ENLINK MIDSTREAM","inv",2500
"123","ENN ENERGY HLDG","inv",750
"124","ENOGEX LLC","inv",250
"125","ENQUEST PLC","junk",650
"126","ENSCO PLC","inv",3850
"127","ENTERPRISE OP LL","inv",1500
"128","ENTERPRISE PRODU","inv",18838.4
"129","EOG RESOURCES","inv",600
"130","EOG RESOURCES IN","inv",6250
"131","EP ENER/EVEREST","junk",3148.8
"132","EQT CORP","inv",1450
"133","EQT MIDSTREAM PT","inv",500
"134","EQUITABLE RESRCS","inv",500
"135","ERA GROUP INC","junk",149.8
"136","EV ENERGY PT/FIN","junk",426
"137","EXCO RESOURCES","junk",421.6
"138","EXTERRAN PARTNER","junk",700
"139","EXXON MOBIL CORP","inv",11250
"140","FERMACA ENTERPR","inv",538.6
"141","FERRELLGAS","junk",182
"142","FERRELLGAS LP","junk",1475
"143","FLORIDA GAS TRAN","inv",1900
"144","FMC TECHNOLOGIES","inv",800
"145","FORBES ENERGY","junk",280
"146","FORUM ENERGY TEC","junk",400
"147","FTS INTL INC","junk",500
"148","GAS NATURAL","inv",320
"149","GASTAR EXPLORAT","junk",325
"150","GENESIS ENERGY","junk",1850
"151","GIBSON ENERGY","junk",550
"152","GLOB PART/GLP FI","junk",675
"153","GLOBAL MARINE","junk",300
"154","GLOBE LUXEMBOURG","junk",500
"155","GNL QUINTERO SA","inv",1100
"156","GOODRICH PETROLE","junk",116.7
"157","GS CALTEX CORP","inv",1300
"158","GULF SOUTH PIPE","inv",567.8
"159","GULFMARK OFFSHOR","junk",500
"160","GULFPORT ENERGY","junk",949.8
"161","GULFSTREAM NAT","inv",1150
"162","HALCON RESOURCES","junk",2519.7
"163","HALLIBURTON CO","inv",14394.3
"164","HARVEST OPERATIO","inv",630
"165","HARVEST OPERATIO","junk",500
"166","HELMERICH INT DR","inv",500
"167","HESS CORP","inv",5650
"168","HIL PART LP/CORP","inv",750
"169","HILCORP ENERGY I","junk",1350
"170","HOLLY ENERGY PAR","junk",300
"171","HORNBECK OFF","junk",825
"172","HUSKY ENERGY INC","inv",2987
"173","IFM US COLONIAL","junk",250
"174","ION GEOPHYSICAL","junk",175
"175","IRACORE INTL HLD","junk",125
"176","IRONGATE ENRGY","junk",210
"177","ITHACA ENERGY","junk",300
"178","JONES ENERGY HLD","junk",500
"179","JUPITER RES INC","junk",1100
"180","KAZMUNAYGAS NAT","inv",5020.5
"181","KCA DEUTAG UK FI","junk",375
"182","KERR-MCGEE CORP","inv",1150
"183","KEY ENERGY SERV","junk",675
"184","KINDER MORGAN","inv",9050
"185","KINDER MORGAN EN","inv",16399.9
"186","KOREA GAS CORP","inv",3950
"187","KOREA NATL OIL","inv",3400
"188","KOSMOS ENERGY","junk",525
"189","LACLEDE GAS CO","inv",250
"190","LACLEDE GROUP","inv",250
"191","LAREDO PETROLEUM","junk",1300
"192","LASMO (USA) INC","inv",400
"193","LBC TANK TERMINA","junk",350
"194","LEGACY RES/FIN C","junk",850
"195","LIGHTSTREAM","junk",253.9
"196","LINN ENERGY LLC","junk",4827.7
"197","LONESTAR RES AME","junk",220
"198","LUKOIL INTL FIN","inv",5600
"199","MAGELLAN MID","inv",1950
"200","MAGELLAN MIDSTRE","inv",1600
"201","MARATHON OIL COR","inv",5836
"202","MARATHON PETRO","inv",5697.4
"203","MATADOR RESOURC","junk",400
"204","MCDERMOTT INTL","junk",500
"205","MEG ENERGY CORP","junk",2550
"206","MEM PROD PART LP","junk",1197
"207","MEMORIAL RESOURC","junk",600
"208","MIDCONTINENT EXP","inv",450
"209","MIDSTATES PETRO","junk",1790.4
"210","MOTIVA ENTERPR","inv",2000
"211","MPLX LP","inv",4536.3
"212","MRT MID PART/FIN","junk",383.6
"213","MURPHY OIL CORP","junk",2250
"214","NABORS INDS INC","inv",2982.5
"215","NAKILAT INC","inv",1112.8
"216","NATIONAL FUEL GA","inv",450
"217","NATIONAL GAS","inv",400
"218","NATIONAL OILWELL","inv",3000
"219","NATL FUEL GAS","inv",1550
"220","NEWFIELD EXPLOR","junk",2450
"221","NEXEN INC","inv",3540
"222","NGL ENRGY PART/F","junk",850
"223","NGPL PIPECO LLC","junk",2300
"224","NISKA GAS STORAG","junk",574.8
"225","NISOURCE FIN CP","inv",4376
"226","NISOURCE FINANCE","inv",550
"227","NOBLE ENERGY INC","inv",5979.1
"228","NOBLE HLDG INTL","inv",4000
"229","NORSK HYDRO A/S","inv",1805.5
"230","NORTH BLIZZARD","junk",276.2
"231","NORTH BORDER PIP","inv",250
"232","NORTHERN NAT GAS","inv",250
"233","NORTHERN OIL","junk",700
"234","NORTHERN TIER EN","junk",350
"235","NORTHWEST PIPELN","inv",250
"236","NUSTAR LOGISTICS","junk",1350
"237","OASIS PETROLEUM","junk",2200
"238","OCCIDENTAL PETE","inv",5253.2
"239","OCEAN RIG UDW","junk",346.1
"240","OCEANEERING INTL","inv",500
"241","OLEODUCTO CENTRA","inv",500
"242","ONE GAS INC","inv",1200
"243","ONEOK INC","junk",1547.4
"244","ONEOK PARTNERS","inv",5700
"245","PACIFIC DRILLING","junk",1250
"246","PANCANADIAN PETL","junk",350
"247","PANHANDLE EASTRN","inv",700
"248","PARAMOUNT RES","junk",450
"249","PARKER DRILLING","junk",585
"250","PARSLEY ENERGY","junk",550
"251","PBF HOLDING CO","junk",1175.5
"252","PBF LOGISTICS LP","junk",330.1
"253","PDC ENERGY INC","junk",500
"254","PEMEX MASTER TR","inv",2975.2
"255","PENN VIRGINIA CO","junk",1075
"256","PERMIAN HOLDINGS","junk",184.3
"257","PERTAMINA","inv",8750
"258","PERUSAHAAN GAS","inv",1350
"259","PETRO-CANADA","inv",3225
"260","PETROFAC LTD","inv",750
"261","PETROLEOS MEXICA","inv",38080.3
"262","PETROLEUM GEO","junk",450
"263","PETRONAS","inv",500
"264","PETRONAS CAP LTD","inv",6750
"265","PETRONAS SUKUK","inv",1250
"266","PETROQUEST ENERG","junk",135.6
"267","PHI INC","junk",500
"268","PHILLIPS 66","inv",7495.5
"269","PHILLIPS 66 PTNR","inv",1100
"270","PIEDMONT NAT GAS","inv",550
"271","PIONEER ENERGY S","junk",300
"272","PIONEER NATURAL","inv",3234.6
"273","PIPELINE FUNDING","inv",493.6
"274","PLAINS ALL AMER","inv",8950
"275","POLAR TANKERS","inv",645
"276","PRECISION DRILL","junk",1444.4
"277","PRIDE INTL INC","inv",1700
"278","PTT EXPL & PROD","inv",1500
"279","PTT PCL","inv",1450
"280","PTTEP CAN INTL","inv",700
"281","PTTEP CANADA INT","inv",490
"282","QEP RESOURCES","junk",1775
"283","QUESTAR MARKET","junk",270
"284","QUESTAR PIPELINE","inv",250
"285","RANGE RESOURCES","junk",2600
"286","RAS LAFFAN LNG 3","inv",2265
"287","RASGAS II","inv",735.1
"288","REGENCY ENERGY","inv",600
"289","REGENCY ENERGY P","inv",3200
"290","RESOLUTE ENERGY","junk",400
"291","REX ENERGY CORP","junk",673
"292","RICE ENERGY INC","junk",1299.9
"293","ROCKIES EXPRESS","junk",2575
"294","ROSE ROCK MID/FI","junk",740
"295","ROWAN COS INC","inv",2800
"296","RSP Permian Inc","junk",500
"297","RSP PERMIAN INC","junk",200
"298","RUBY PIPELINE","inv",825
"299","SABINE PASS LIQU","junk",8454.1
"300","SABINE PASS LNG","junk",420
"301","SANCHEZ ENERGY","junk",1750
"302","SANDRIDGE ENERGY","junk",3552.9
"303","SCHLUMBERGER HLD","inv",6000
"304","SCHLUMBERGER INV","inv",4600
"305","SCHLUMBERGER NOR","inv",1000
"306","SCHLUMBERGER OIL","inv",600
"307","SEACOR HOLDINGS","junk",211
"308","SEITEL INC","junk",250
"309","SEMCO ENERGY INC","inv",300
"310","SEMGROUP CORP","junk",300
"311","SEMPRA ENERGY","inv",5100
"312","SESI LLC","inv",1298.2
"313","SEVEN GENS ENER","junk",1125
"314","SEVENTY SEVEN","junk",450
"315","SHELL INTL FIN","inv",29000
"316","SIDEWINDER DRILL","junk",250
"317","SIERRA HAM LLC/F","junk",110
"318","SINOPEC CAPITAL","inv",2750
"319","SINOPEC GRP OVER","inv",14750
"320","SM ENERGY CO","junk",2349.1
"321","SOURCEGAS","inv",325
"322","SOUTH NA GAS/ISS","inv",300
"323","SOUTHEAST SUPPLY","inv",400
"324","SOUTHERN CAL GAS","inv",2500
"325","SOUTHERN NAT GAS","inv",757.7
"326","SOUTHERN STAR","junk",450
"327","SOUTHWEST GAS CP","inv",500
"328","SOUTHWESTERN ENE","junk",2200
"329","SOUTHWN ENERGY","junk",1599.5
"330","SPECTRA ENERGY","inv",1300
"331","SPECTRA ENERGY C","inv",650
"332","SPECTRA PARTNERS","inv",2900
"333","STATOIL ASA","inv",13350
"334","STATOILHYDRO","inv",500
"335","STATOILHYDRO ASA","inv",1500
"336","STONE ENERGY","junk",775
"337","SUBURBAN PROPANE","junk",1121.2
"338","SUMMIT MID HLD /","junk",600
"339","SUNCOR ENERGY","inv",1750
"340","SUNCOR INC","inv",3150
"341","SUNOCO LOGISTICS","inv",4800
"342","SUNOCO LP/FIN","junk",1400
"343","TALISMAN ENERGY","inv",1300
"344","TALOS PRODUCTION","junk",300
"345","TARGA RES PRTNRS","junk",4850.7
"346","TC PIPELINES LP","inv",700
"347","TEINE ENERGY LTD","junk",350
"348","TENNESSEE GAS PL","inv",1300
"349","TERVITA CORP","junk",1275
"350","TES LOG LP/CORP","junk",2319.7
"351","TESORO CORP","junk",1225
"352","TEXAS EAST TRANS","inv",450
"353","TEXAS EASTERN TR","inv",1200
"354","TEXAS GAS TRANSM","inv",440
"355","THAI OIL PCL","inv",1000
"356","TOPAZ SOLAR FARM","inv",826.1
"357","TOSCO CORP","inv",900
"358","TOTAL CAP CANADA","inv",2000
"359","TOTAL CAP INTL","inv",8500
"360","TOTAL CAPITAL","inv",3250
"361","TRANS-CANADA PL","inv",14750
"362","TRANSCANADA TRUS","inv",750
"363","TRANSCONT GAS PL","inv",2024.3
"364","TRANSOCEAN INC","junk",6559.5
"365","TRANSPORT GAS PE","inv",850
"366","TRIANGLE USA","junk",415.9
"367","TRINIDAD DRILL","junk",450
"368","TRNSPRTA DE GAS","inv",750
"369","TULLOW OIL PLC","junk",1300
"370","ULTRA PETROLEUM","junk",1300
"371","UNIT CORP","junk",650
"372","VALERO ENERGY","inv",6100
"373","VANGUARD NAT RES","junk",381.8
"374","VENOCO INC","junk",308.2
"375","W & T OFFSHORE","junk",900
"376","WARREN RESOURCES","junk",167.2
"377","WEATHERFORD BERM","junk",5012.1
"378","WEATHERFORD INC","junk",899.7
"379","WELLTEC A/S","junk",325
"380","WESTERN ATLAS","inv",250
"381","WESTERN GAS","inv",1520
"382","WESTERN GAS PART","inv",900
"383","WESTERN REFINING","junk",650
"384","WHITING PETRO","junk",3399
"385","WILLIAMS COS","junk",1067.8
"386","WILLIAMS COS INC","junk",3088.9
"387","WILLIAMS PARTNER","inv",11350
"388","WOODSIDE FINANCE","inv",2300
"389","WPX ENERGY INC","junk",2599
"390","XTO ENERGY INC","inv",1523.9
"391","PETROLEOS MEXICA","all",38080.3
"392","SHELL INTL FIN","all",29000
"393","BP CAPITAL PLC","all",22650
"394","CHEVRON CORP","all",21050
"395","ENTERPRISE PRODU","all",18838.4
"396","KINDER MORGAN EN","all",16399.9
"397","SINOPEC GRP OVER","all",14750
"398","TRANS-CANADA PL","all",14750
"399","ENERGY TRAN PTNR","all",14694.2
"400","HALLIBURTON CO","all",14394.3
"401","STATOIL ASA","all",13350
"402","WILLIAMS PARTNER","all",11350
"403","EXXON MOBIL CORP","all",11250
"404","KINDER MORGAN","all",9050
"405","PLAINS ALL AMER","all",8950
"406","PERTAMINA","all",8750
"407","ECOPETROL SA","all",8697.7
"408","TOTAL CAP INTL","all",8500
"409","SABINE PASS LIQU","all",8454.1
"410","CONOCOPHILLIPS","all",7901.5
"411","APACHE CORP","all",7650
"412","DEVON ENERGY","all",7550
"413","PHILLIPS 66","all",7495.5
"414","ANADARKO PETRO","all",6975
"415","CONOCOPHIL CO","all",6750
"416","PETRONAS CAP LTD","all",6750
"417","TRANSOCEAN INC","all",6559.5
"418","CHESAPEAKE ENRGY","all",6440.3
"419","EOG RESOURCES IN","all",6250
"420","VALERO ENERGY","all",6100
"421","SCHLUMBERGER HLD","all",6000
"422","NOBLE ENERGY INC","all",5979.1
"423","MARATHON OIL COR","all",5836
"424","ONEOK PARTNERS","all",5700
"425","MARATHON PETRO","all",5697.4
"426","HESS CORP","all",5650
"427","LUKOIL INTL FIN","all",5600
"428","OCCIDENTAL PETE","all",5253.2
"429","SEMPRA ENERGY","all",5100
"430","CAN NATURAL RES","all",5050
"431","KAZMUNAYGAS NAT","all",5020.5
"432","WEATHERFORD BERM","all",5012.1
"433","ENBRIDGE ENERGY","all",4945
"434","TARGA RES PRTNRS","all",4850.7
"435","LINN ENERGY LLC","all",4827.7
"436","SUNOCO LOGISTICS","all",4800
"437","CENOVUS ENERGY","all",4750
"438","SCHLUMBERGER INV","all",4600
"439","MPLX LP","all",4536.3
"440","CALIFORNIA RESOU","all",4436
"441","NISOURCE FIN CP","all",4376
"442","CNOOC FINANCE","all",4100
"443","CONTINENTAL RES","all",4100
"444","CNOOC FIN 2014","all",4000
"445","NOBLE HLDG INTL","all",4000
"446","KOREA GAS CORP","all",3950
"447","ENSCO PLC","all",3850
"448","SANDRIDGE ENERGY","all",3552.9
"449","ENCANA CORP","all",3550
"450","NEXEN INC","all",3540
"451","BAKER HUGHES INC","all",3400
"452","KOREA NATL OIL","all",3400
"453","WHITING PETRO","all",3399
"454","ANTERO RESOURCES","all",3375
"455","CONCHO RES/MIDLA","all",3350
"456","CNOOC FIN 2013 L","all",3250
"457","TOTAL CAPITAL","all",3250
"458","PIONEER NATURAL","all",3234.6
"459","PETRO-CANADA","all",3225
"460","REGENCY ENERGY P","all",3200
"461","CNPC GENERAL CAP","all",3150
"462","SUNCOR INC","all",3150
"463","EP ENER/EVEREST","all",3148.8
"464","BUCKEYE PARTNERS","all",3125
"465","WILLIAMS COS INC","all",3088.9
"466","NATIONAL OILWELL","all",3000
"467","HUSKY ENERGY INC","all",2987
"468","NABORS INDS INC","all",2982.5
"469","PEMEX MASTER TR","all",2975.2
"470","BG ENERGY CAP","all",2900
"471","SPECTRA PARTNERS","all",2900
"472","DOM GAS HOLD LLC","all",2899
"473","DENBURY RESOURCE","all",2850
"474","ROWAN COS INC","all",2800
"475","COLUMBIA PIPELIN","all",2750
"476","SINOPEC CAPITAL","all",2750
"477","ENERGY XXI GULF","all",2653.8
"478","RANGE RESOURCES","all",2600
"479","WPX ENERGY INC","all",2599
"480","ROCKIES EXPRESS","all",2575
"481","DCP MIDSTREAM","all",2550
"482","MEG ENERGY CORP","all",2550
"483","HALCON RESOURCES","all",2519.7
"484","CAMERON INTERNAT","all",2500
"485","ENLINK MIDSTREAM","all",2500
"486","SOUTHERN CAL GAS","all",2500
"487","EL PASO PIPELINE","all",2485
"488","NEWFIELD EXPLOR","all",2450
"489","SM ENERGY CO","all",2349.1
"490","TES LOG LP/CORP","all",2319.7
"491","AGL CAPITAL CORP","all",2300
"492","NGPL PIPECO LLC","all",2300
"493","WOODSIDE FINANCE","all",2300
"494","RAS LAFFAN LNG 3","all",2265
"495","MURPHY OIL CORP","all",2250
"496","ENBRIDGE INC","all",2200
"497","OASIS PETROLEUM","all",2200
"498","SOUTHWESTERN ENE","all",2200
"499","ACMP/ACMP FIN","all",2150
"500","APT PIPELINES","all",2150
"501","ENERGY TRANS","all",2148.7
"502","ATMOS ENERGY","all",2100
"503","DCP MIDSTREAM OP","all",2075
"504","TRANSCONT GAS PL","all",2024.3
"505","CNOOC FIN 2011","all",2000
"506","CNOOC FIN 2012","all",2000
"507","DIAMOND OFFSHORE","all",2000
"508","MOTIVA ENTERPR","all",2000
"509","TOTAL CAP CANADA","all",2000
"510","MAGELLAN MID","all",1950
"511","FLORIDA GAS TRAN","all",1900
"512","DOLPHIN ENERGY","all",1896.5
"513","EL PASO CORP","all",1891.3
"514","GENESIS ENERGY","all",1850
"515","NORSK HYDRO A/S","all",1805.5
"516","MIDSTATES PETRO","all",1790.4
"517","QEP RESOURCES","all",1775
"518","SANCHEZ ENERGY","all",1750
"519","SUNCOR ENERGY","all",1750
"520","CANADIAN NATL RE","all",1700
"521","CONTINENTAL RESO","all",1700
"522","PRIDE INTL INC","all",1700
"523","ENABLE MIDSTRM","all",1649.2
"524","COLONIAL PIPELIN","all",1625
"525","DELEK & AVNER TA","all",1600
"526","MAGELLAN MIDSTRE","all",1600
"527","SOUTHWN ENERGY","all",1599.5
"528","CALUMET SPECIAL","all",1575
"529","NATL FUEL GAS","all",1550
"530","CONOCO INC","all",1549.1
"531","ONEOK INC","all",1547.4
"532","AMER ENERGY/AEPB","all",1545
"533","AMERIGAS FINANCE","all",1530.8
"534","XTO ENERGY INC","all",1523.9
"535","WESTERN GAS","all",1520
"536","CIMAREX ENERGY","all",1500
"537","ENTERPRISE OP LL","all",1500
"538","PTT EXPL & PROD","all",1500
"539","STATOILHYDRO ASA","all",1500
"540","CITGO HOLDING","all",1498
"541","FERRELLGAS LP","all",1475
"542","CAN OIL SANDS LT","all",1450
"543","EQT CORP","all",1450
"544","PTT PCL","all",1450
"545","PRECISION DRILL","all",1444.4
"546","SUNOCO LP/FIN","all",1400
"547","HILCORP ENERGY I","all",1350
"548","NUSTAR LOGISTICS","all",1350
"549","PERUSAHAAN GAS","all",1350
"550","CNOOC CURTIS FUN","all",1300
"551","ENAP","all",1300
"552","GS CALTEX CORP","all",1300
"553","LAREDO PETROLEUM","all",1300
"554","SPECTRA ENERGY","all",1300
"555","TALISMAN ENERGY","all",1300
"556","TENNESSEE GAS PL","all",1300
"557","TULLOW OIL PLC","all",1300
"558","ULTRA PETROLEUM","all",1300
"559","RICE ENERGY INC","all",1299.9
"560","SESI LLC","all",1298.2
"561","TERVITA CORP","all",1275
"562","EL PASO  CORP","all",1263.3
"563","COMSTOCK RES INC","all",1259.1
"564","BOARDWALK PIPELI","all",1250
"565","CARRIZO OIL&GAS","all",1250
"566","CHAPARRAL ENERGY","all",1250
"567","DEVON FINANCING","all",1250
"568","PACIFIC DRILLING","all",1250
"569","PETRONAS SUKUK","all",1250
"570","TESORO CORP","all",1225
"571","CRESTWOOD MIDSTR","all",1200
"572","ONE GAS INC","all",1200
"573","TEXAS EASTERN TR","all",1200
"574","MEM PROD PART LP","all",1197
"575","ENERGY TRANSFER","all",1187
"576","PBF HOLDING CO","all",1175.5
"577","BREITBURN ENERGY","all",1152.2
"578","CNPC HK OVRSEA C","all",1150
"579","GULFSTREAM NAT","all",1150
"580","KERR-MCGEE CORP","all",1150
"581","HARVEST OPERATIO","all",1130
"582","SEVEN GENS ENER","all",1125
"583","SUBURBAN PROPANE","all",1121.2
"584","NAKILAT INC","all",1112.8
"585","GNL QUINTERO SA","all",1100
"586","JUPITER RES INC","all",1100
"587","PHILLIPS 66 PTNR","all",1100
"588","BURLINGTON RES F","all",1075
"589","PENN VIRGINIA CO","all",1075
"590","WILLIAMS COS","all",1067.8
"591","CHC HELICOPTER S","all",1013.8
"592","CNPC HONG KG LTD","all",1000
"593","COSL FINANCE","all",1000
"594","SCHLUMBERGER NOR","all",1000
"595","THAI OIL PCL","all",1000
"596","BAYTEX ENERGY","all",950
"597","GULFPORT ENERGY","all",949.8
"598","BP AMI LEASING","all",930
"599","EL PASO NAT GAS","all",913.6
"600","ANADARKO FINANCE","all",900
"601","TOSCO CORP","all",900
"602","W & T OFFSHORE","all",900
"603","WESTERN GAS PART","all",900
"604","WEATHERFORD INC","all",899.7
"605","BLUE RACER MID/F","all",850
"606","LEGACY RES/FIN C","all",850
"607","NGL ENRGY PART/F","all",850
"608","TRANSPORT GAS PE","all",850
"609","BERRY PETROL CO","all",833.7
"610","TOPAZ SOLAR FARM","all",826.1
"611","HORNBECK OFF","all",825
"612","RUBY PIPELINE","all",825
"613","ALBERTA ENERGY","all",800
"614","BILL BARRETT","all",800
"615","BONANZA CREEK EN","all",800
"616","ENDEAVOR ENERGY","all",800
"617","ENI SPA","all",800
"618","FMC TECHNOLOGIES","all",800
"619","BASIC ENERGY SVC","all",775
"620","STONE ENERGY","all",775
"621","SOUTHERN NAT GAS","all",757.7
"622","CHESAPEAKE MIDST","all",750
"623","CROWNROCK LP/CR","all",750
"624","ENN ENERGY HLDG","all",750
"625","HIL PART LP/CORP","all",750
"626","PETROFAC LTD","all",750
"627","TRANSCANADA TRUS","all",750
"628","TRNSPRTA DE GAS","all",750
"629","ROSE ROCK MID/FI","all",740
"630","RASGAS II","all",735.1
"631","AMERIGAS PARTNER","all",720
"632","EXTERRAN PARTNER","all",700
"633","NORTHERN OIL","all",700
"634","PANHANDLE EASTRN","all",700
"635","PTTEP CAN INTL","all",700
"636","TC PIPELINES LP","all",700
"637","ATLAS EN HLDS/FI","all",699.8
"638","GLOB PART/GLP FI","all",675
"639","KEY ENERGY SERV","all",675
"640","REX ENERGY CORP","all",673
"641","DRILL RIGS HLDS","all",658
"642","ATWOOD OCEANICS","all",650
"643","CITGO PETROLEUM","all",650
"644","ENQUEST PLC","all",650
"645","SPECTRA ENERGY C","all",650
"646","UNIT CORP","all",650
"647","WESTERN REFINING","all",650
"648","CHESAP OIL OP/FN","all",648.1
"649","POLAR TANKERS","all",645
"650","CGG","all",604.9
"651","CALFRAC HLDGS","all",600
"652","CLAYTON WILLIAMS","all",600
"653","CRSTWD PART/FIN","all",600
"654","DUKE ENERGY FIEL","all",600
"655","EMPRESA NACIONAL","all",600
"656","EOG RESOURCES","all",600
"657","MEMORIAL RESOURC","all",600
"658","REGENCY ENERGY","all",600
"659","SCHLUMBERGER OIL","all",600
"660","SUMMIT MID HLD /","all",600
"661","PARKER DRILLING","all",585
"662","NISKA GAS STORAG","all",574.8
"663","GULF SOUTH PIPE","all",567.8
"664","ECLIPSE RESOURCE","all",550
"665","GIBSON ENERGY","all",550
"666","NISOURCE FINANCE","all",550
"667","PARSLEY ENERGY","all",550
"668","PIEDMONT NAT GAS","all",550
"669","FERMACA ENTERPR","all",538.6
"670","AMERICAN ENGY PE","all",530
"671","KOSMOS ENERGY","all",525
"672","CONOCO FUNDING","all",500
"673","CONOCPHILLIPS CA","all",500
"674","CVR REF/COFF FIN","all",500
"675","DUKE CAP CORP","all",500
"676","ENERGEN CORP","all",500
"677","EQT MIDSTREAM PT","all",500
"678","EQUITABLE RESRCS","all",500
"679","FTS INTL INC","all",500
"680","GLOBE LUXEMBOURG","all",500
"681","GULFMARK OFFSHOR","all",500
"682","HELMERICH INT DR","all",500
"683","JONES ENERGY HLD","all",500
"684","MCDERMOTT INTL","all",500
"685","OCEANEERING INTL","all",500
