"","description","grade","totalVal"
"1","ACMP/ACMP FIN","inv",2150
"2","AGL CAPITAL CORP","inv",2300
"3","ALBERTA ENERGY","junk",800
"4","ALTA MESA HLDGS","junk",450
"5","AMER ENERGY - WO","junk",237.6
"6","AMER ENERGY/AEPB","junk",1545
"7","AMERICAN ENGY PE","junk",530
"8","AMERIGAS FINANCE","junk",1530.8
"9","AMERIGAS PARTNER","junk",720
"10","ANADARKO FINANCE","inv",900
"11","ANADARKO PETRO","inv",6975
"12","ANR PIPELINE","inv",300
"13","ANTERO RESOURCES","junk",3375
"14","APACHE CORP","inv",7650
"15","APACHE FIN CAN","inv",300
"16","APPROACH RESOURC","junk",245
"17","APT PIPELINES","inv",2150
"18","ATLAS EN HLDS/FI","junk",699.8
"19","ATMOS ENERGY","inv",2100
"20","ATWOOD OCEANICS","junk",650
"21","BAKER HUGHES INC","inv",3400
"22","BASIC ENERGY SVC","junk",775
"23","BAYTEX ENERGY","junk",950
"24","BELLATRIX EXPL","junk",250
"25","BERRY PETROL CO","junk",833.7
"26","BG ENERGY CAP","inv",2900
"27","BILL BARRETT","junk",800
"28","BLUE RACER MID/F","junk",850
"29","BOARDWALK PIPELI","inv",1250
"30","BONANZA CREEK EN","junk",800
"31","BP AMI LEASING","inv",930
"32","BP CAPITAL PLC","inv",22650
"33","BREITBURN ENERGY","junk",1152.2
"34","BRISTOW GROUP IN","junk",401.5
"35","BUCKEYE PARTNERS","inv",3125
"36","BURLINGTON RES F","inv",1075
"37","CALFRAC HLDGS","junk",600
"38","CALIFORNIA RESOU","junk",4436
"39","CALUMET SPECIAL","junk",1575
"40","CAMERON INTERNAT","inv",2500
"41","CAN NATURAL RES","inv",5050
"42","CAN OIL SANDS LT","junk",1450
"43","CANADIAN NATL RE","inv",1700
"44","CANBRIAM ENERGY","junk",350
"45","CARRIZO OIL&GAS","junk",1250
"46","CASH","junk",254.128
"47","CENOVUS ENERGY","junk",4750
"48","CGG","junk",604.9
"49","CGG SA","junk",419.4
"50","CHAPARRAL ENERGY","junk",1250
"51","CHC HELICOPTER S","junk",1013.8
"52","CHESAP OIL OP/FN","junk",648.1
"53","CHESAPEAKE ENRGY","junk",6440.3
"54","CHESAPEAKE MIDST","inv",750
"55","CHEVRON CORP","inv",21050
"56","CIMAREX ENERGY","inv",1500
"57","CITGO HOLDING","junk",1498
"58","CITGO PETROLEUM","junk",650
"59","CLAYTON WILLIAMS","junk",600
"60","CNOOC CURTIS FUN","inv",1300
"61","CNOOC FIN 2011","inv",2000
"62","CNOOC FIN 2012","inv",2000
"63","CNOOC FIN 2013 L","inv",3250
"64","CNOOC FIN 2014","inv",4000
"65","CNOOC FINANCE","inv",4100
"66","CNPC GENERAL CAP","inv",3150
"67","CNPC HK OVRSEA C","inv",1150
"68","CNPC HONG KG LTD","inv",1000
"69","COLONIAL PIPELIN","inv",1625
"70","COLUMBIA PIPELIN","inv",2750
"71","COMPRESSCO PARTN","junk",350
"72","COMSTOCK RES INC","junk",1259.1
"73","CONCHO RES/MIDLA","junk",3350
"74","CONOCO FUNDING","inv",500
"75","CONOCO INC","inv",1549.1
"76","CONOCOPHIL CO","inv",6750
