"","date","val","var"
"1",2006-03-30,100,"debt"
"2",2006-06-30,104.32630766141,"debt"
"3",2006-09-30,142.100703063198,"debt"
"4",2006-12-30,140.204330314414,"debt"
"5",2007-03-30,139.241601528937,"debt"
"6",2007-06-30,138.500876684496,"debt"
"7",2007-09-30,137.903531188368,"debt"
"8",2007-12-30,144.871892992703,"debt"
"9",2008-03-30,147.683687778522,"debt"
"10",2008-06-30,145.106677675382,"debt"
"11",2008-09-30,140.347592939603,"debt"
"12",2008-12-30,152.379204099616,"debt"
"13",2009-03-30,170.119974125652,"debt"
"14",2009-06-30,170.892410904836,"debt"
"15",2009-09-30,167.189170672917,"debt"
"16",2009-12-30,148.913482642308,"debt"
"17",2010-03-30,149.657227475606,"debt"
"18",2010-06-30,136.613126886225,"debt"
"19",2010-09-30,129.881021088237,"debt"
"20",2010-12-30,143.717964753754,"debt"
"21",2011-03-30,143.612321912928,"debt"
"22",2011-06-30,138.261775567851,"debt"
"23",2011-09-30,151.779745953252,"debt"
"24",2011-12-30,167.831258760525,"debt"
"25",2012-03-30,187.649447734132,"debt"
"26",2012-06-30,200.614841105689,"debt"
"27",2012-09-30,215.359835870604,"debt"
"28",2012-12-30,220.169461840114,"debt"
"29",2013-03-30,217.032955925405,"debt"
"30",2013-06-30,219.092090166893,"debt"
"31",2013-09-30,215.32655653948,"debt"
"32",2013-12-30,211.108460159246,"debt"
"33",2014-03-30,221.943568889397,"debt"
"34",2014-06-30,221.992514322234,"debt"
"35",2014-09-30,222.44303452391,"debt"
"36",2014-12-30,244.679227727782,"debt"
"37",2015-03-30,266.535417111619,"debt"
"38",2015-06-30,266.33434833875,"debt"
"39",2015-09-30,271.734704282235,"debt"
"40",2015-12-31,265.688130487298,"debt"
"41",2006-03-30,100,"prod"
"42",2007-03-30,98.1288580246914,"prod"
"43",2008-03-30,97.9359567901235,"prod"
"44",2009-03-30,96.4699074074074,"prod"
"45",2010-03-30,103.279320987654,"prod"
"46",2011-03-30,105.632716049383,"prod"
"47",2012-03-30,108.738425925926,"prod"
"48",2013-03-30,124.922839506173,"prod"
"49",2014-03-30,143.788580246914,"prod"
"50",2015-03-30,167.978395061728,"prod"
"51",2016-03-30,181.905864197531,"prod"
