,bank,fundedOGL,totalL,fundedOGL_totalL,TCE,fundedOGL_TCE,region
1,BAC,21.3,903.001,2.36,162,13.15,US
2,BBT,1.4,135.951,1.03,15.5,9.03,US
3,BBVAC ,3.8,61.480854,6.18,7.5,50.67,US
4,BOKF,3.1,15.941154,19.45,2.8,110.71,US
5,CFG,1.6,99.042,1.62,13,12.31,US
6,CITI,20.5,617.617,3.32,179,11.45,US
7,CMA,3.7,49.109,7.53,6.9,53.62,US
8,COF,3.1,229.851,1.35,28.3,10.95,US
9,FITB,1.7,92.582,1.84,12.1,14.05,US
10,GS ,1.8,85.111,2.11,71.4,2.52,US
11,HSBC USA,5.3,82.917,6.39,18,29.44,US
12,JPM ,13.4,837.299,1.6,174.3,7.69,US
13,KEY,1.2,59.876,2,9.4,12.77,US
14,MS,4.8,197.7,2.43,58.1,8.26,US
15,MUAH ,3.8,77.599,4.9,12.1,31.4,US
16,PNC,2.6,206.696,1.26,32.1,8.1,US
17,RF,3.1,81.162,3.82,11.1,27.93,US
18,STI,3.1,136.442,2.27,16.1,19.25,US
19,USB,3.2,260.849,1.23,31.5,10.16,US
20,WFC,17.4,916.559,1.9,142.5,12.21,US
21,ZION,2.8,40.6,6.9,5.6,50,US
22,ING,31.585,646.33,4.89,40.118,78.73,EU
23,HSBC,29,924.454,3.14,130.863,22.16,EU
24,BNP,17.172,743.342,2.31,75.042,22.88,EU
25,DBK,5.463,472.856,1.16,57.284,9.54,EU
26,DNB,8.169,175.205,4.66,18.094,45.15,EU
27,BARC,6.52,591.6,1.1,60.374,10.8,EU
28,UBS,6.139,313.963,1.96,30.238,20.3,EU
29,SEB,5.915,160.517,3.68,12.755,46.37,EU
30,ABN Amro,5.119,286.498,1.79,17.733,28.87,EU
31,Swedbank,3.534,167.717,2.11,11.141,31.72,EU
32,Danske,3.349,238.922,1.4,18.644,17.96,EU
33,SHB,3.15,226.011,1.39,11.925,26.42,EU
34,CS,2.572,275.85,0.93,35.939,7.16,EU
35,ISP,1.906,380.214,0.5,38.698,4.93,EU
36,Nordea,3.306,371.313,0.89,25.677,12.88,EU
37,CASA,13.728,359.641,3.82,35.645,38.51,EU
38,SOGN,11.774,440.223,2.67,42.21,27.89,EU
39,STAN,24,261.403,9.18,38.182,62.86,EU
40,Natixis,6.533,194.121,3.37,13.796,47.35,EU
41,RBS,5.236,453.468,1.15,55.732,9.39,EU
42,CBK,4.248,254.988,1.67,25.745,16.5,EU
43,SAN,9.996,841.748,1.19,63.588,15.72,EU
44,BBVA,17.209,484.038,3.56,43.452,39.6,EU
